,comment,majority_vote_final,index
49,"Lol! You can't pretend well enough.  You are definitely interesting to watch, and your personal preference is the Audi. You have always emblemish the Audi negatives while emphasizing on the negatives of the others. You are still making interesting reviews! In the end, nevertheless, I agree with your number 1 choice ��",positive,49
50,TOUAREG IS MY DREAM CAR �,positive,50
51,He just loves the BMW's,positive,51
52,"Mercedes's 450d vs BMW's 40d, Which diesel engine is quieter?",neutral,52
53,Always BMW wins �,positive,53
54,"Anyone who pays more than 50K on any car must have money to throw down the drain, be mad or incredibly stupid",negative,54
55,I have a gle 450  best car BMW suck,positive,55
56,"You’re a car guy, stop,saying Porsh.",neutral,56
57,"Get a Tesla with FSD and let it drive for you. The rest of the cars don't have anything to offer, they are the same, slightly different exterior, slightly different interior, period. Who on earth needs soft closing doors??? Is this your requirement for a luxury car? really?",neutral,57
58,Where is the Range Rover?,neutral,58
59,Where is Range Rover?,neutral,59
60,i like the old cayenne look,neutral,60
61,Best to get the one you like. They all do the same thing and after watching the drag race they all go virtually the same speed. Had an X5 and Q7 now have VW which is a fantastic car!,positive,61
62,Why so much hate for the touareg? It feels premium and is the most premium car from VW. And the last one has all u want in,negative,62
63,He knows that the Mercedes is better but he is an absolute BMW fan girl and total sell out...,positive,63
64,bmw all day mofgkas,neutral,64
65,yesssssss,neutral,65
66,What the hell is VW doing there????????!!,neutral,66
67,"Performance wise - the GLE 450 shouldn’t be competing with the 30d BMW, it should only be the GLE 300, which is a 2L. As both will then be the entry level. If it’s the 450, then test it against the x5 50e",neutral,67
68,Story arcs across multiple videos encourage subscription,neutral,68
69,I can clearly see Mercedes nowadays is very chinese,neutral,69
70,only in 2025 will normal luxury midsize family suv's do the quarter mile faster than the lamborghini gallardo,neutral,70
71,"Crossovers between niches (gaming + music, news + commentary) reach wider audiences",neutral,71
72,Am I the only one that thinks the Audi looks by far the best??,positive,72
73,Matt is a BMW fanboy,neutral,73
74,"I would get VW Touareg Diesel 286 hp, immense torque, or BMW X5 50e....",neutral,74
75,"prices of these cars are insane even for europe, in india the X5 costs 140k pounds, the gle 140k pounds, Q7 120k, Cayenne is just on another level because its a fully built car costing 190k for the base model with absolutely no options. Crazy isnt it?",negative,75
76,"maybe focus on important stuff? Reliability, longevity, simplicity, car parts prices, ect ect?
Complaining about something being manual is beyond dumb, we don't need everything to be electric ad powered, its nightmare when breaks, and it will break
Anyway, worst car here is by far Mercedes, friend got one and he was at dealer about 60 times in 3 years, for various mostly electric problems
best is for sure BMW, best 3.0 diesel on the market, as it will last 800 000 km easy when maintained, seen many with this mileage
ofc best option would be Lexus RX, but not even listed here",neutral,76
77,Sooooo where’s the Lexus ??,neutral,77
78,Very uplifting.,positive,78
79,Q7,neutral,79
80,The BMW channel ?,neutral,80
81,X5 100%,neutral,81
82,Porsche❤️,neutral,82
83,"I am getting a new ‘26 X5 I just ordered. A replacement for a wonderful brand new Q8 Prestige that got broadsided and I know the car will never be the same, plus it has been in the shop for 3 months still getting fixed.  If money were no object the Porsche wins hands down.  I think the looks of the Q8 are better than the X5 or X6.  However, the overall capabilities of the X5 are probably better.  I really like Audi’s though and recognize that I do not drive outside the car so the bland looks of the SQ5 I had before did not matter one whit.  It is a better overall car than the X3 50.",positive,83
84,porsche obviously!!!,neutral,84
85,Wish porsche had a 7 seater option especially in petrol or diesel not bloody electric shit,negative,85
86,So sq7 is the best one ?,positive,86
87,Porsche�,neutral,87
88,Btw where's the range rover sport,neutral,88
89,Where is opel?,neutral,89
90,"""Have they made it from scrotums?"" ��",neutral,90
91,Which one is the fastest ?,neutral,91
92,3 of them r the same thing different skin,neutral,92
93,I would take the merc,neutral,93
94,"11:42 how do you don’t look good either from the outside they have good friend, but ugliest rear design. �",positive,94
95,"Why are we buying so big SUVs, if they don’t have a good rear seats comfort?",positive,95
96,10:00 I think Audi has the best thighs support too,positive,96
97,"6:25 yes, course, Porsche do look the ugliest of the lot",neutral,97
98,personally i prefer audi,neutral,98
99,There’s actually three Volkswagens a BMW and a Mercedes…..,neutral,99
100,M50d would of smoked every car here,neutral,100
101,Why didn't you use x7 ?,neutral,101
102,"It's unfair to compare these luxury brands as each has its unique strengths and loyal customer base, sparking endless debates among car enthusiasts.",neutral,102
103,Till Germany understands that they need to be reliable I'm not touching any of them,negative,103
104,The audi not wining  is crazy  considering  it's price,negative,104
105,Dacia,neutral,105
106,i have one fantastic �,positive,106
107,"None of them.  Th BMW is deeply ugly, the Mercedes-Benz looks flumperstonic, the Porsche is flat ugly, the Audi looks like it is made of plastic and the VW is about as imposing and exciting car as a body in a coffin.

Cars of today are not good. They are resource hungry, they are overpriced and the build quality of them is rubbish.

I stick to my Subaru Legacy JDM Estate on 2007 plate.  Never had a single thing go wrong with it.  That is called a quality car from a bygone era.  I also own a BMW 335i Saloon on a 2011 plate.  Another older car, but the build quality is exceptional in comparison to current day BMWs.  The build quality is not to bad on it either. That said though, the build quality of the Legacy is well above that of BMW of that era and certainly the build quality is better than todays cars.

But I am sorry fella, if anyone, including you looks upto these brands, knowing they are resource hungry, knowing they have mass flaws and faults, knowing you drive out of the showroom and lose upto 65% of the value of some of these expensive cars.  It makes no logical sense to buy new or cars from this era now.

Logic says, you buy older, better quality, better built, look better cars from pre 2012, basically, is how I see it.",negative,107
108,"price of all of these is simply put....stupid.  If you want to improve you video, please add what type of gearbox and final drive each of these has and the warranties of the drive train.",negative,108
109,Which one has the best interior smell?!,positive,109
110,"After so many videos and reviews and a long long search I decided that, Volvo xc 60 t8 it is�",positive,110
111,"Rather than a popularity contest, comparing specs, reliability, performance, features and head-to-head test drives can reveal the trick.",neutral,111
112,Why would anyone use pounds? Lol. No one cares about pounds and no one understands pounds. Your country is tiny and USA dollars is the worldwide standard. Thumbs down. Use dollars idiot. Even your people in understand dollars.,neutral,112
113,Make a full German SUV car race with Opel � obviously opel will be last but still it would look epic �,neutral,113
114,BMW deserves that money,neutral,114
115,King Volvo xc60,neutral,115
116,I LOVE THAT MERCEDES SO MUCH,positive,116
117,4:11����������������I'm dead,neutral,117
118,4:06��������������,neutral,118
119,"As someone whose owned Mercedes, BMW and now Audi, I agree the Mercedes interior looks and feels cheap. As far as interface techy stuff and interior, BMW is the leader. And they don't nickel and dime you on the apps like Audi does. BMW free oil changes, spark plugs, maintenance for 3 years, 1 yr sirius xm and you can do so much on the BMW app on your phone. It's an incredible brand. When I buy another vehicle, it'll be a BMW for sure.",positive,119
120,which car has the comfiest seats?,neutral,120
121,"not gonna lie, I love how the Touareg looks.",positive,121
122,"for reliability, I will choose Mercedes Benz, my neighbor she still driving a 77 benz 240 diesel, and my 24 years old 01 CLK430 still running smooth with 230k miles ODO, the 21 GLA45 just bought is fantastic.",positive,122
123,The tourage is not even comptetion for the rest,neutral,123
124,"Not sold on the looks, I think it looks a bit like a hearse, but the BMW seems like a great overall package. A 40d would be nice. Maybe in a bolder colour like metallic blue or red the shape of the BMW would be disguised a bit. Still a lot better than many other recent BMWs looks wise. The beaver toothed grille doesn't look so obvious here.",positive,124
125,"Still, I think the Touareg is a nice car, VW never was a cheap car, the quality is above average",positive,125
126,Ill take de vw,neutral,126
127,Best judge,positive,127
128,가격대비 가치 Q7 승,neutral,128
129,I am mercedes fan but i would choose x5 �,neutral,129
130,Just get one from IAAI?,neutral,130
131,"So if money were no object, it would be the Porsche!",neutral,131
132,so biased against Mercedes,neutral,132
133,Never thought I'd see the worst 5 brands in one test.,negative,133
134,"As an American I’d love
To know Who the heck is buying the vw instead of the competition???? Vw employees??",positive,134
135,Comparing Diesel with Petrol seems a bit stupid....,negative,135
136,Volvo!,neutral,136
137,"All great brands! Depends on your priorities—BMW for driving fun, Porsche for performance, Mercedes for luxury, Audi for tech, VW for value. What matters most to you?",positive,137
138,Where is the volvo T8 and the Lexus GX550�,neutral,138
139,"""Each brand excels in different areas—BMW for driving dynamics, Porsche for performance, Mercedes for luxury, Audi for tech, and VW for value. Depends on priorities!""  

(149 characters)",neutral,139
140,LOVE HOW THEY FREQUENTLY INCLUDE DIESEL ENGINES IN REVIEWS..!!!!!!!!!!! THANKS MAN.!!!!!!!!!!,positive,140
141,"Bot the Audi and Porsche 100% bore scoring if parked in snowbelt cold. Esp below -5C they are toast with repeat cold starts, 100% occurrence for Alusil and lokasil blocks.",negative,141
142,"Great comparison, well done, without bmw-glasses the comparison test would be objective",positive,142
143,What are those cheap cars that every body can effort? At least in the opinion of the manufacturers. Because the pricing is from another planet.,negative,143
144,The cayenne is beauty,neutral,144
145,ooh the compliment about Porsche was personal ��� and every one who watches mats understood the assignment concerning the exhaust of Mercedes ���,neutral,145
146,Should compare w Q8,neutral,146
147,None of this german shit is good....made to rob you clean. I strongly encourage to stay away from this shite ....with their all encrypted ecu acess mechanics cost will increase even more,negative,147
148,VW doesnt belong here,neutral,148
149,"I’m mean the Porsche, Audi, & Volkswagen are in the same family so would have been nice to have more of a different comparison with other brands.",positive,149
150,"Grazie mille per il tuo video bellissimo,�❤",neutral,150
151,Emmanuel .O. for this  video.  The Audi version is  the best of because  the interior  is very easy ❤❤❤,positive,151
152,BMW X5 it's a lovely car,positive,152
153,why x30d why,neutral,153
154,“Have they made it from scrotoms” �,neutral,154
155,Great review. Audi Q7 stands out for its spaciousness and all-around capabilities.,positive,155
156,"1. Value for money is the Audi Q7 �
2.BMW X5 looks good on the exterior but interior is outdated doesn’t feel expensive except for the screens and Aircon vents which don’t look too attractive 
3.The GLE is studded with the star grille and flashy chrome but the leather in the vehicle and also the dash design has become quite monotonous and the rear profile doesn’t have that wow factor 
And you don’t buy A SUV for performance you buy it for practicality comfort space and long drives for which I think the Q7 is the best and should be the winner
But as always great job by Mat �",positive,156
157,Volvo is missing. �,neutral,157
158,"Wow, great review, very detailed. Thanks for this. I wish you also did with the x6 and gls but great vid",positive,158
159,"They are all great cars..  For me, it really comes down to the dealer maintenance costs and services with honesty.  From my experiences, almost all the dealers try very hard to run up the bill.   Worst is the BMW which starts to brake down at 4-5 year time period..  Many repairs are between $2-8k each. .   I will not buy BMW for that reason.",neutral,159
160,Great over all review of the SUVs  �����,positive,160
161,"Drove them all.
BMW steers the best but small in the back and nervous on the road and not comfy enough
Audi, most space, most comfy, but feels very big and bad seating position
Porsche, all is good but just ugly, had it for 6 months and shamed myself
Mercedes, so comfy I felt sick after driving it, for the rest Ok.
Touraeg, I drive a v8 diesel with 421 hp.  Drive the best of these all and best seating position with masage seats. Looks ok for me, does not draw a lot of attention but under 5 seconds at 100 kmh and still get 1000 kms on a full tank.  Quality is ok but not the best from these cars. But I drove 200.000 km in it and it still feels very good.",negative,161
162,"These cars were all in the 50/60 k range ten years ago. But then again, hotels, restaurants and even flights have gone up a similar amount. Its just inflation.",neutral,162
163,3 VW vs Benz vs BMW ���,neutral,163
164,Bought the BMW with the B58 engine,neutral,164
165,Since you said you prefere BMW more than Mercedes I subscribed,positive,165
166,Bmw the best,positive,166
167,Hail The AUDI ,neutral,167
168,What's the best money pit?,positive,168
169,Bro bmw was loosing and had the best comeback in history for suv's,positive,169
170,"@13:27 what’s up with this lame, effeminate “Satisfying” “it satisfying” type of rhetoric?  I’ve never heard real men in my life talk about something “�so satisfying that satisfying.” Stop it!

Great channel and wonderful car content!",positive,170
171,Japanese is the best always,positive,171
172,I have the BMW x5 30d M and it drives like a charm... �,neutral,172
173,"Bmw wants to much for a 3 yr old lease turn I want one but not at 30,000 plus that's nuts for a 3 year old car Honda ,  an Hyundia are looking better everyday",positive,173
174,For me it's either an Audi or the Benz,neutral,174
175,Guys am i sutpid or is the audio not so much massively larger than the rest because he was supposed to compare the Q5 to X5 and GLE and no the Q7 which is supposed to rival the GLS and X7?,neutral,175
176,Give me the Audi any time of the day.,neutral,176
177,How can you do a SUV test and not include a Range Rover?,neutral,177
178,"The BMW wins ugliest car contest by a wide margin, as usual",positive,178
179,‘Objectively’. The Audi Q7 is the best..,positive,179
180,Where is the part of the BMW interior? Editor must worked in Friday afternoon,neutral,180
181,BMW for the win!!!,positive,181
182,Where is the Range Rover Sport,neutral,182
183,VW makes 3 of the cars here. That’s wild,neutral,183
184,Missed out the best of all try the Genesis gv70,positive,184
185,Perfect intro straight to the point,positive,185
186,And the winner is: � German car!,positive,186
187,Ranking the best German SUVs is like grading which is the best communist country to live in... they all suck!,positive,187
188,"I lost interest when I saw the insane prices and sub 300 hp performance. You would have to be out of your mind to consider any of theses. And just because I am making a point, a brand new Tesla Model Y Performance that knocks all of these into a cocked hat performance wise, has more interior space, no servicing cost, cheaper fuelling costs - all the stuff we know but some continue to be in denial about. fifty six grand on the road or £499 a month. Honestly, these cars are a joke. No wonder none of the world are buying them.",negative,188
189,"Moral of the drag race ""well, the porsche won.""",neutral,189
190,25:45 ���,neutral,190
191,Skoda�,neutral,191
192,https://youtube.com/clip/Ugkx_hz822Ecm6EqO0HzBwalZJkADs6zw36s?si=FKuFDBvOJhOjKN3Q,neutral,192
193,I am going to tell my friends I have a 90k vw. �,neutral,193
194,Agreed. X5 is the best of the bunch,positive,194
195,X5 is by far the best looking one,positive,195
196,I wish we could get diesels in the US,neutral,196
197,where is the range rover sport �,neutral,197
198,If have the vw,neutral,198
199,why wasn't the GV80 included?,neutral,199
200,Am I the only one surprised whenever the Porsche fanboy doesn't pick that car to win?,positive,200
201,"Bmw won again lol, bmw is on steroid. Winning everytime against competition. I wish i had bought a bmw instead of a GLC 220d. �",positive,201
202,"None of them it is worth the money,honestly.
With price starting 60k without options. �",neutral,202
203,lütfen türkçe seslendirme ekler misiniz ya da gerçek çeviri.,neutral,203
204,Where’s the Volvo XC90?,neutral,204
205,Of course BMW X5 is winner!,positive,205
206,"Why are you not comparing apples to apples? Hybrids, diesel and gas??",neutral,206
207,The benz mn,neutral,207
208,What is with this guy and bmw do they bribe him�,neutral,208
209,Audi is by far the better of the bunch.,positive,209
210,Only the best Mercedes Benz,positive,210
211,If you could add Lexus RX to the mix that would be great :D,positive,211
212,❤Q7 It’s the o ❤,neutral,212
213,Gle❤�,neutral,213
214,Matt's hate for Mercedes and lo e for BMW sometimes clouds his reviews,negative,214
215,But Touareg had soft close I have a Touareg and I have soft close,neutral,215
216,"At the end of the day, I can live with the Audi diesel and the overall comfort package.",neutral,216
217,VW looks the best and MB,positive,217
218,Guys in Europe: its not that those cars got so expensive. Europe is just getting poor. Its too small of a market for producers to care and all other regions of the world are keeping up salary-wise with those prices in their currencies. Brutal truth,negative,218
219,"La mayoría son de Alemania 

Traduction:

The major are of Germany",neutral,219
220,"Great video Carwow. Thank you � 
BMW X5 always wins.",positive,220
221,Porche cayenne direct,neutral,221
222,Land Cruiser ❤️ Prado ❤️,neutral,222
223,"I'm disappointed in you Matt!  How can you honestly expect us to believe you review the Audi, BMW, or MBZ  better then the Porsche after admitting you own the Porsche?  Bad form!",negative,223
224,"Only Benz is the original all others are imitations. Respect for the genius Karl Benz and Bertha Benz, the real name of that car shuld be KBB (Karl Bertha Benz).",neutral,224
225,These manufacturers have destroyed their own businesses with overly complicated cars that are hard to repair and last only a few of years on the road compared to older models.....why waste your money on any of these.....,neutral,225
226,"Best in what..? From the maintenance stand point of view, Porsche is the worst.",neutral,226
227,My parents have a BMW X7 2023. I love BMW.,positive,227
228,"Well none of them are winning any beauty contests, that’s for sure �",positive,228
229,+1 if Matt is the best car reviewer!!,positive,229
230,"You have to be more objective against Mercedes. We now you are bmw guy but if you compare the cars you have to pit your bmw love aside, sir. But putting all aside you are doing great job, love your videos ❤",positive,230
231,Volvo�,neutral,231
232,Tf they comparing a Volkswagen ���,neutral,232
233,3 of these cars share the same chassis,neutral,233
234,Why the D:/,neutral,234
235,"Chinese cars are better than all of them. More features, more reliable, and cheaper to buy and maintain.",positive,235
236,They're all absolute rubbish compared with a saloon though.,negative,236
237,This is by far the most confusing car videos I’ve ever seen,neutral,237
238,Porsche et mercedes best,positive,238
239,Can anyone recommend me the best suv over 5 -6years old. The looks good and mean outside and inside? Thanks,positive,239
240,"I got a porsche because it’s the most nicest (calm) drive. I did a test drive on mercedes, lexus and porsche. Nothing came even close to how well it handled bumps on the road. Don’t need space, so I even got a coupe. It goes fast when it needs to, overtaking on motorway never felt safer. But it’s objectively the most luxurious of the set, despite the common notion that it’s sporty. If I had more money to spend, I would look at Bentley, and if I had less I would 100% go for RX. It’s just insane good value.",positive,240
241,I ve got the winner - seems to be a right choice :),positive,241
242,wheres volvo xc90,neutral,242
243,BMW��,neutral,243
244,"Why is the the Cayenne the best? 
Because it's a Porsche ofc �",positive,244
245,BMW once again destroys the competition. Their engineering is second to none!!!,neutral,245
246,I have the GLE 350 de hybrid with the nappa leather option which makes it feel a bit more special….it can be recognised by the twin stitching and softer feel. It’s also a low BIK which matches the Porsche Hybrid!,positive,246
247,I wouldn’t be interested in any of theses cars. They all look boring as hell and over priced.,negative,247
248,,neutral,248
249,"Seriously what kind of job do you need to have to afford a ""normal"" car like these? 100g is ludacris",neutral,249
250,"im planning to get the gle 450, is it worth it or should i go for the audi/bmw",neutral,250
251,Mr Carwow i have new Touareg with soft close...so next time when you take to compare soft close buy soft close,neutral,251
252,Land Rover!,neutral,252
253,�,neutral,253
254,VW R looks lit �,neutral,254
255,I thought that Porsche is pronounced as a two-syllable word,neutral,255
256,Stone Age Cars for Caveman,neutral,256
257,It all comes down to the bmw vs merc,neutral,257
258,Range Rover could have been included,neutral,258
259,"None of those. The most comfortable premium SUV is XC90, unless you are a midget. I am 6 foot 220 pounds. I have tried 2024 versions of all of them. Merc and X5 used to be with great big comfy seats. Not anymore. All except the Volvo now have awfully small sporty seats with ginormous central consoles. Porsche is exactly the same as Touareg even worst then the Merc and BMW. Q8 is worst then Q7 space wise. Yes I was prepared to go full EV from pure desperation. Tried EQE and EQS, both are joke comfort wise. Finally I just bought XC90 it has the best ergonomic seats you can wish with plenty of space around.",negative,259
260,q8 is the best overall and most beautifull in the class,positive,260
261,I love it,positive,261
262,Where is the Audi Q8. This is by far the best of all,positive,262
263,None of them are anywhere near the standard of the Range Rover,neutral,263
264,What happened too budget car brands making affordable cars,neutral,264
265,"Why is he being biased towards the BMW, Mercedes is definitely the better one.",positive,265
266,Volvo xc90,neutral,266
267,What happened to a Land Rover product?,neutral,267
268,No longevity tests. Take all these suv 5 years old and tell me which one lasted the longest with highest miles,neutral,268
269,It'd be nice to know the speeds as well as the times,positive,269
270,You forgot to add a Japanese 4x4 to the mix.,neutral,270
271,"I test drove x5 and Cayenne, and Cayenne is 2 heads above in driving feel, so much so I decided to buy Cayenne S on the spot. X5 is nowhere near as fun to throw into corners. Cayenne makes me smile every time I drive it. And I owned the f15 30D x5 couple years ago.",positive,271
272,Everytime wins BMW X5 lol,positive,272
273,Lol i really enjoyed this review. Love the presenter's charisma. ,positive,273
274,"Matt referring to the ethos of Volkswagen as being ""Car of the people"" is brutal!",neutral,274
275,Bmw all the way ��,neutral,275
276,"25:26 ""...Ice white socks with navy blue double cadet stripe..."" who's this cool customer?�",positive,276
277,BMW easily,positive,277
278,3 vw’s vs 1 mercedes vs 1 mini cooper,neutral,278
279,Why didn’t you look at the Q8 tho?,neutral,279
280,Apples to oranges.  Terrible attempt to compare vehicles.  One’s a hybrid.  Another’s diesel.  Yet another is gas powered.  This is just ridiculous,negative,280
281,whats up with volvos matt??? how can you not have a volvo in there???,neutral,281
282,New cars are expensive. I would have to work for 4 years to afford some of these,negative,282
283,1 bmw and 1 mercedes vs 3 Volkswagens �,neutral,283
284,There should be Lexus RX also in the comparison. It's better compared to all of the above.,positive,284
285,"I know it might sound a bit silly, but I have to say, the top trim interior of the Mazda CX-90 looks way better than all the others. Just my opinion!",positive,285
286,Jackson Angela Smith Michelle Lee David,neutral,286
287,Porsche for me ❤,neutral,287
288,wish I could have seen matt wanking it before it disappeared,neutral,288
289,"Car prices as tested:
Porsche 101,865 GBP
BMW 93,745 GBP
GLE 91,695 GBP
AUDI 83,525 GBP
VW 89,206 GBP",neutral,289
290,So it is BMW vs Volkswagen vs  Mercedes vs Volkswagen vs Volkswagen,neutral,290
291,No XC90?,neutral,291
292,My 2008 SL can beat the bmw.,neutral,292
293,"Mercedes is on the Austin Martin,,,",neutral,293
294,"Still canot understand how a 1995 7's series bmw can still do better than a hight end suv bmw from today � . Better marerials, better and more understandable lay out, more interesting engines, better designed and better options as ashtrays.",positive,294
295,Niceeee more VW,positive,295
296,The best SUV is those you can allow yourself without feeling a financial discomfort ... the brand is just a matter of taste.,positive,296
297,Out of all the cars I’ve owned the Q7 is my favorite.,positive,297
298,What happened with ML it used to be rival with X5...,neutral,298
299,Vw vs bmw basically,neutral,299
300,"I know I know, Porsche is Porsche, Mercedes is classy, BMW is a pleasure to drive...all fantastic cars...but in terms of pure practicality absolutely nothing beats the Touareg. 
This is just a car that gets the job done. Any job. Or almost any. It is so easy to live with, it is unreal.",positive,300
301,Bmws will always remain superior fs�,positive,301
302,My touareg does have a soft closing does tho why does this one no have it ?,neutral,302
303,Lexus ftw,neutral,303
304,"ohhh...is this the german ""car channel"".....interesting...cheers from.....germany.
btw...i don't drive a german car.",neutral,304
305,"$90K for a VW... bwahahahahahahahahahahahahahahahahaha!!! 

Uh, no.",neutral,305
306,"All of them suck. Bad cars, bad design.",negative,306
307,Only german cars,neutral,307
308,Scrotum leather ���������,neutral,308
309,5:56 come on mercedes,neutral,309
310,They're all unreliable sh*te....,neutral,310
311,"All time you advertize
Bmw win

You must also mention
That mercedes will last 2 times longer than that Bmw
And will cost les money  during the lifetime to keep on parts and shit",positive,311
312,All German...who won the bloody wars...we definitely didnt...we make eff all now.,neutral,312
313,I like this guy. You feel that he loves his job.  It's funny,positive,313
314,The back seats in the Mercedes go back up because they felt resistance because you didn't put the headrests down.,neutral,314
315,"The 3 sead is for children, not for old people �",neutral,315
316,Matt picked a bmw. Surprised... Not,neutral,316
317,Money is the Best,positive,317
318,"7:01 what's also wrong in this car is the steering wheel , it's on the wrong side  :)))",neutral,318
319,The Toureg use to be beautiful inside…NOW IT SUCKS!!  So bland and no more of that beautiful open pore wood � or polished walnut,negative,319
320,"Wtf 90k on the touareg, just get the Audi instead",negative,320
321,I love audi,positive,321
322,Yehh x5 is the best,positive,322
323,The Q7 having some 200 horsepower less than the Tuareg is the biggest crime here. Followed close by the Porsche having too few horsepower more than the aforementioned VW.,neutral,323
324,our bow x5 xdrive  has soft close,neutral,324
325,Omg this aura from the mercedes,neutral,325
326,BMW allways be better�,positive,326
327,I'm saying Porsche and Mercedes,neutral,327
328,"Audi best overall, yet wins the Bronze medal?  You’d be an excellent Olympic judge……I only care because I have one and it’s really good.",positive,328
329,AUDI AUDI AUDI ALL DAY BABYY,neutral,329
330,Is genesis gv 80 or 90 not better than any of them?,neutral,330
331,The Tuareg has Softklose!!!,neutral,331
332,"The prices are crazy. But i think its a stupid idea to buy such a car new for 100k. After 3 years its worth 50k-55k and you lose more than 45k. Go and buy it after 2, 3 or 4 years. A car is a item of Use. Its not a Rolex.",neutral,332
333,Where`s the Volvo XC90?,neutral,333
334,Lexus RX,neutral,334
335,I already wanted that,neutral,335
336,Who pays him the most get the win lol. And we all know BMW loves to pay because theyll get it back anyway when your car breaks down lol,positive,336
337,The Q7 is the best SUV!,positive,337
338,And de Tesla  X or Y  in compare why not?,neutral,338
339,Where is Range Rover Sport?,neutral,339
340,Where is the Volvo PHEV??,neutral,340
341,The jokes I love it!!!!!!,positive,341
342,"Back doors quality... Thats what differs CarWoW to the rest.
Congratulations for the content as always!",positive,342
343,"Come on Matt, you need to consider using the rear view mirrors, loool, you are driving forward but your face is looking at the back",neutral,343
344,K,neutral,344
345,Mercedes GLE 450d is my favourite and best looking in my opinion,positive,345
346,"Hahaha, pathetic. BMW saved GB car industry, what theatric show presented here.",negative,346
347,German cars on top,positive,347
348,The looks of the BMW IS BEAST AGRESSIVE LOOKING OUT OF ALL THE CAR CONSDERING THE PRICE ITA THE BEST,positive,348
349,"I love the way Q7 looks, my favorite SUV here, even if I'm a Mercedes fan!",positive,349
350,"I bought a new Q7 a year ago and love it. Hated my test drive in the GLE. No comparison. 
I’m surprised there’s no Volvo XC90 here TBH. Surely a contender despite its 4 pot engine.",neutral,350
351,8:00 Classic Matt,neutral,351
352,No roof rails on a 100k Cayene is criminal,negative,352
353,Mercedes what a beauty but is it washed with sand??,neutral,353
